"","lfdn","v_14","v_15","v_16","v_23","v_28","v_29","v_30","v_31","v_32","v_33","v_34","v_35","v_36","v_37","v_38","v_39","v_41","v_42","v_43","v_44","v_45","v_46","v_47","v_48","v_49","v_50","v_51","v_52","v_53","v_54","v_57","v_58","v_59","v_60","v_61","v_62","v_63","v_64","v_65","v_66","v_67","v_69","v_71","v_72","v_73","v_161","c_0031","c_0032","v_74","v_77","c_0013","v_173","v_174","v_175","v_176","v_167","v_182","v_183","v_184","v_185","v_186","v_187","v_96","v_99","v_100","v_101","v_102","v_103","v_104","v_105","v_106","v_107","v_108","v_111","v_112","v_113","v_114","v_115","v_116","v_117","v_118","v_119","v_120","v_121","v_124","v_125","v_126","v_127","v_128","v_129","v_130","v_131","v_132","v_133","v_134","v_135","v_140","v_142","v_144","v_145","v_146","v_147","v_148","v_149","v_150","v_151","v_152","v_153","v_154","v_155","v_156","v_157","date","education","casmin","eduyears","einwohner","city","qkm","distance_km","distance_km_raw"
"1",42,1,67,1,"2",2,NA,4,1,2,1,NA,NA,NA,NA,NA,NA,2,2,2,4,1,2,4,2,1,2,7,1,6,1,6,7,1,3,1,3,4,1,3,1,7,7,2,7,8,6,"6","4",10,10,8,8,0,2,0,-3,1,1,4,1,5,4,1,3,2,3,2,4,9,5,3,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,2,NA,NA,-66,NA,NA,1,5,3,2,1,2,0,-66,1,1,1,2,0,1,2600,0,NA,3,18691,3,4,0.277777777777778,17130,"97074 Würzburg",8.109303,0.0570473272083737,3.56505047706517
"2",44,1,21,2,"9",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,4,1,3,1,2,1,1,7,3,6,2,2,7,4,3,2,3,4,3,5,1,5,5,1,8,7,5,"5","12",10,10,3,8,2,4,0,-3,1,1,1,1,2,3,1,2,2,2,1,7,3,10,6,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,2,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,7,0,2,0,-66,1,1,1,2,0,1,650,0,NA,1,18691,5,5,0.277777777777778,14794,"38114 Braunschweig",5.459785,0.0593258588416721,3.7055662247867
"3",46,1,40,1,"11",2,NA,4,1,1,2,1,1,1,1,0,0,2,2,1,1,1,1,1,5,5,1,0,2,7,2,10,0,0,0,0,0,1,1,6,2,NA,9,NA,10,0,10,"7","12",0,0,5,10,10,10,0,-5,1,1,1,1,5,5,4,1,2,1,1,0,0,1,1,0,1,2,NA,3,NA,NA,-66,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,5,0,2,0,-66,2,2,2,NA,1,1,3500,0,NA,99,18691,5,8,0.555555555555556,8110,"76887 Bad Bergzabern u.a.",19.658552,0.37982028658351,23.4702749945037
"4",47,1,61,1,"2",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,3,1,1,1,1,1,1,6,2,3,1,0,0,3,2,2,2,2,3,5,1,3,3,1,0,3,0,"3","10",5,4,6,5,4,4,4,-5,1,1,1,1,1,1,1,6,1,0,0,10,0,0,0,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,1,NA,NA,-66,NA,NA,1,5,3,2,2,1,-66,-66,1,1,1,2,0,1,1200,0,NA,2,18691,3,4,0.277777777777778,9692,"97209 Veitshöchheim",10.781846,0.0827665394129578,5.15113964121009
"5",48,1,64,2,"1",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,5,1,1,1,2,4,1,3,3,5,1,1,2,2,3,2,2,2,2,6,1,5,5,2,7,4,6,"11","8",5,5,4,10,0,3,0,-5,1,2,3,2,2,3,2,6,2,6,6,4,1,9,1,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,3,NA,NA,3,NA,-66,NA,NA,1,10,4,2,2,2,0,-66,1,1,1,2,0,1,3100,0,NA,2,18691,4,6,0.388888888888889,17817,"79189 Bad Krozingen",35.591871,0.220725215477642,13.6589725975778
"6",49,1,54,1,"12",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,4,4,4,1,6,1,3,1,1,1,1,3,1,2,3,4,3,1,8,8,2,7,3,1,"2","11",10,10,2,10,2,10,0,-5,1,1,1,3,2,2,2,0,2,0,0,7,7,8,4,0,1,2,NA,2,NA,NA,-66,NA,NA,1,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,4,3,0,1,-66,-66,1,1,1,2,0,1,1600,0,NA,1,18691,4,6,0.388888888888889,18054,"66450 Bexbach",31.232077,0.137696859980603,8.53866121622238
"7",50,1,54,2,"2",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,5,5,1,1,1,4,1,1,5,1,2,1,5,5,3,3,3,3,4,3,8,1,5,5,2,5,5,5,"2","10",10,10,7,10,0,0,0,-5,1,1,1,1,1,1,1,6,1,5,5,5,4,10,5,0,1,1,3,NA,NA,NA,-66,NA,NA,2,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,3,1,3,1,1,1,1,1,2,1,1,4000,0,NA,2,18691,3,4,0.277777777777778,21501,"97318 Kitzingen",69.714408,0.00229505543085408,0.188509069503581
"8",51,1,58,2,"2",2,NA,2,1,2,1,NA,NA,NA,NA,NA,NA,2,2,1,4,1,1,1,5,5,1,10,1,3,1,5,3,1,2,2,1,2,1,6,1,2,2,1,7,3,0,"11","10",10,10,6,10,0,10,0,-3,1,1,3,1,3,4,1,6,1,3,10,7,5,4,0,0,1,2,NA,3,NA,NA,-66,NA,NA,2,1,12,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,4,3,1,2,0,-66,1,1,1,1,1,1,3800,0,NA,2,18691,4,6,0.388888888888889,27318,"90459 Nürnberg",1.428078,0.0211822845306429,1.35327372783003
"9",52,1,45,1,"1",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,5,1,1,1,3,2,1,8,3,7,2,5,7,3,3,3,3,4,3,6,1,1,9,NA,5,5,4,"10","6",9,9,1,10,0,9,0,-5,1,1,3,1,1,3,2,6,1,9,8,6,6,1,7,0,2,2,NA,1,NA,NA,-66,NA,NA,2,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,2,2,4,1,0,1,1,1,2,0,1,3500,0,NA,1,18691,3,4,0.277777777777778,14547,"97922 Lauda-Königshofen",94.37891,0.139084879372899,8.62425958137573
"10",53,1,51,2,"2",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,4,1,1,1,5,5,1,8,3,6,2,10,9,1,3,1,0,3,1,5,1,5,5,2,9,9,8,"10","1",10,10,5,10,0,5,1,-5,1,1,1,1,2,3,2,3,2,0,0,0,3,10,5,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,1,3,NA,NA,NA,-66,NA,NA,1,10,3,2,0,2,0,-66,1,1,1,2,0,1,5000,0,NA,2,18691,3,4,0.277777777777778,11696,"84347 Pfarrkirchen",52.390603,0.233631702889774,14.4549083233192
